Date,Rocket Name,Price,Payload to LEO,Payload to GTO,Location,Outcome
1992-01-21T15:00:00Z,Soyuz U,N/A,6.90,N/A,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
1992-01-22T14:52:33Z,Space Shuttle,"$450,000,000",27.50,N/A,"Kennedy Space Center, FL, USA",Launch Successful
1992-01-24T01:18:01Z,Molniya-M 2BL,N/A,N/A,N/A,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
1992-01-25T07:50:17Z,Soyuz-U2,N/A,7.05,N/A,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
1992-01-29T22:19:12Z,Proton K/DM-2,N/A,N/A,N/A,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
1992-02-05T18:14:00Z,Zenit-2,N/A,13.74,N/A,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Failure
1992-02-11T00:41:02Z,Atlas II,N/A,6.58,2.81,"Cape Canaveral SFS, FL, USA",Launch Successful
1992-02-11T01:50:00Z,H-I,N/A,3.20,1.10,"Tanegashima Space Center, Japan",Launch Successful
1992-02-17T22:05:08Z,Kosmos-3M (11K65M),N/A,N/A,N/A,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
1992-02-23T22:29:00Z,Delta II 7925,"$51,000,000",N/A,1.84,"Cape Canaveral SFS, FL, USA",Launch Successful
1992-02-26T23:58:10Z,Ariane 44L,N/A,10.20,4.95,"Guiana Space Centre, French Guiana",Launch Successful
1992-03-04T04:27:00Z,Molniya-M 2BL,N/A,N/A,N/A,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
1992-03-09T22:35:59Z,Kosmos-3M (11K65M),N/A,N/A,N/A,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
1992-03-14T00:00:00Z,Atlas I,N/A,5.90,N/A,"Cape Canaveral SFS, FL, USA",Launch Successful
1992-03-17T10:54:30Z,Soyuz-U2,N/A,7.05,N/A,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
1992-03-24T13:13:39Z,Space Shuttle,"$450,000,000",27.50,N/A,"Kennedy Space Center, FL, USA",Launch Successful
1992-04-01T14:18:00Z,Soyuz-U-PVB,N/A,6.90,N/A,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
1992-04-02T01:50:00Z,Proton K/DM-2,N/A,N/A,N/A,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
1992-04-08T12:20:00Z,Soyuz U,N/A,6.90,N/A,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
1992-04-10T03:20:00Z,Delta II 7925,"$51,000,000",N/A,1.84,"Cape Canaveral SFS, FL, USA",Launch Successful
1992-04-15T07:17:43Z,Kosmos-3M (11K65M),N/A,N/A,N/A,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
1992-04-15T23:25:27Z,Ariane 44L,N/A,10.20,4.95,"Guiana Space Centre, French Guiana",Launch Successful
1992-04-19T21:29:25Z,Soyuz-U2,N/A,7.05,N/A,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
1992-04-25T08:53:00Z,Titan II SLV,N/A,3.60,N/A,"Vandenberg SFB, CA, USA",Launch Successful
1992-04-29T09:00:00Z,Soyuz U,N/A,6.90,N/A,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
1992-04-29T10:10:00Z,Soyuz U,N/A,6.90,N/A,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
1992-05-07T23:40:00Z,Space Shuttle,"$450,000,000",27.50,N/A,"Kennedy Space Center, FL, USA",Launch Successful
1992-05-14T00:40:00Z,Delta II 7925,"$51,000,000",N/A,1.84,"Cape Canaveral SFS, FL, USA",Launch Successful
1992-05-20T00:30:00Z,ASLV,N/A,0.15,N/A,"Satish Dhawan Space Centre, India",Launch Successful
1992-05-28T19:09:59Z,Soyuz U,N/A,6.90,N/A,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
1992-06-03T00:50:30Z,Kosmos-3M (11K65M),N/A,N/A,N/A,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
1992-06-07T16:40:00Z,Delta II 6920-10,N/A,N/A,N/A,"Cape Canaveral SFS, FL, USA",Launch Successful
1992-06-10T00:00:00Z,Atlas IIA,N/A,6.58,2.81,"Cape Canaveral SFS, FL, USA",Launch Successful
1992-06-23T08:00:00Z,Soyuz-U-PVB,N/A,6.90,N/A,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
1992-06-25T16:12:23Z,Space Shuttle,"$450,000,000",27.50,N/A,"Kennedy Space Center, FL, USA",Launch Successful
1992-06-30T16:43:13Z,Soyuz-U2,N/A,7.05,N/A,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
1992-07-01T20:16:22Z,Kosmos-3M (11K65M),N/A,N/A,N/A,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
1992-07-02T21:54:01Z,Atlas II,N/A,6.58,2.81,"Cape Canaveral SFS, FL, USA",Launch Successful
1992-07-03T14:19:00Z,Scout G-1,"$8,660,000",0.21,N/A,"Vandenberg SFB, CA, USA",Launch Successful
1992-07-07T09:20:01Z,Delta II 7925,"$51,000,000",N/A,1.84,"Cape Canaveral SFS, FL, USA",Launch Successful
1992-07-08T09:53:14Z,Molniya 8K78M-PVB,N/A,N/A,N/A,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
1992-07-09T22:42:19Z,Ariane 44L,N/A,10.20,4.95,"Guiana Space Centre, French Guiana",Launch Successful
1992-07-13T17:41:40Z,Tsiklon-3,"$15,000,000",4.10,N/A,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
1992-07-14T22:02:00Z,Proton K/DM-2,N/A,N/A,N/A,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
1992-07-24T14:26:00Z,Delta II 6925,N/A,3.98,1.45,"Cape Canaveral SFS, FL, USA",Launch Successful
1992-07-24T19:40:00Z,Soyuz U,N/A,6.90,N/A,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
1992-07-27T06:08:42Z,Soyuz-U2,N/A,7.05,N/A,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
1992-07-30T01:59:01Z,Proton K/DM-2,N/A,N/A,N/A,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
1992-07-30T11:00:00Z,Soyuz-U-PVB,N/A,6.90,N/A,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
1992-07-31T13:56:48Z,Space Shuttle,"$450,000,000",27.50,N/A,"Kennedy Space Center, FL, USA",Launch Successful
1992-08-06T19:30:59Z,Molniya-M 2BL,N/A,N/A,N/A,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
1992-08-09T08:00:00Z,Long March 2D,"$30,000,000",3.50,N/A,"Jiuquan Satellite Launch Center, People's Republic of China",Launch Successful
1992-08-10T23:08:07Z,Ariane 42P,N/A,6.00,2.99,"Guiana Space Centre, French Guiana",Launch Successful
1992-08-12T05:44:01Z,Kosmos-3M (11K65M),N/A,N/A,N/A,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
1992-08-13T23:00:00Z,Long March 2E,N/A,9.20,N/A,"Xichang Satellite Launch Center, People's Republic of China",Launch Successful
1992-08-15T22:18:32Z,Soyuz-U2,N/A,7.05,N/A,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
1992-08-19T10:20:00Z,Soyuz U,N/A,6.90,N/A,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
1992-08-22T22:40:00Z,Atlas I,N/A,5.90,N/A,"Cape Canaveral SFS, FL, USA",Launch Failure
1992-08-31T10:40:59Z,Delta II 7925,"$51,000,000",N/A,1.84,"Cape Canaveral SFS, FL, USA",Launch Successful
1992-09-09T08:57:00Z,Delta II 7925,"$51,000,000",N/A,1.84,"Cape Canaveral SFS, FL, USA",Launch Successful
1992-09-10T18:01:18Z,Proton K/DM-2,N/A,N/A,N/A,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
1992-09-10T23:04:00Z,Ariane 44LP,N/A,8.00,4.17,"Guiana Space Centre, French Guiana",Launch Successful
1992-09-12T14:23:00Z,Space Shuttle,"$450,000,000",27.50,N/A,"Kennedy Space Center, FL, USA",Launch Successful
1992-09-22T16:10:00Z,Soyuz U,N/A,6.90,N/A,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
1992-09-25T17:05:01Z,Commercial Titan III,N/A,14.74,4.99,"Cape Canaveral SFS, FL, USA",Launch Successful
1992-10-06T06:20:05Z,Long March 2C,N/A,3.85,N/A,"Jiuquan Satellite Launch Center, People's Republic of China",Launch Successful
1992-10-08T19:00:00Z,Soyuz U,N/A,6.90,N/A,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
1992-10-12T09:47:00Z,Delta II 7925,"$51,000,000",N/A,1.84,"Cape Canaveral SFS, FL, USA",Launch Successful
1992-10-14T19:58:00Z,Molniya 8K78M-PVB,N/A,N/A,N/A,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
1992-10-20T12:58:12Z,Tsiklon-3,"$15,000,000",4.10,N/A,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
1992-10-21T10:21:22Z,Molniya 8K78M-PVB,N/A,N/A,N/A,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
1992-10-22T17:09:40Z,Space Shuttle,"$450,000,000",27.50,N/A,"Kennedy Space Center, FL, USA",Launch Successful
1992-10-27T17:19:41Z,Soyuz-U2,N/A,7.05,N/A,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
1992-10-28T00:15:00Z,Ariane 42P,N/A,6.00,2.99,"Guiana Space Centre, French Guiana",Launch Successful
1992-10-29T10:40:33Z,Kosmos-3M (11K65M),N/A,N/A,N/A,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
1992-10-30T14:59:00Z,Proton K/DM-2,N/A,N/A,N/A,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
1992-11-15T21:45:01Z,Soyuz-U-PVB,N/A,6.90,N/A,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
1992-11-17T07:47:01Z,Zenit-2,N/A,13.74,N/A,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
1992-11-20T15:29:59Z,Soyuz U,N/A,6.90,N/A,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
1992-11-21T13:45:00Z,Scout G-1,"$8,660,000",0.21,N/A,"Vandenberg SFB, CA, USA",Launch Successful
1992-11-22T23:54:00Z,Delta II 7925,"$51,000,000",N/A,1.84,"Cape Canaveral SFS, FL, USA",Launch Successful
1992-11-24T04:09:59Z,Tsiklon-3,"$15,000,000",4.10,N/A,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
1992-11-25T12:18:54Z,Molniya 8K78M-PVB,N/A,N/A,N/A,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
1992-11-27T13:10:00Z,Proton K/DM-2,N/A,N/A,N/A,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
1992-11-28T21:34:00Z,Titan 404A,N/A,17.70,N/A,"Vandenberg SFB, CA, USA",Launch Successful
1992-12-01T22:48:00Z,Ariane 42P,N/A,6.00,2.99,"Guiana Space Centre, French Guiana",Launch Successful
1992-12-02T01:57:00Z,Molniya 8K78M-PVB,N/A,N/A,N/A,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
1992-12-02T13:24:00Z,Space Shuttle,"$450,000,000",27.50,N/A,"Kennedy Space Center, FL, USA",Launch Successful
1992-12-09T11:25:00Z,Soyuz U,N/A,6.90,N/A,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
1992-12-17T12:45:00Z,Proton K/DM-2,N/A,N/A,N/A,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
1992-12-18T22:16:00Z,Delta II 7925,"$51,000,000",N/A,1.84,"Cape Canaveral SFS, FL, USA",Launch Successful
1992-12-21T11:21:00Z,Long March 2E,N/A,9.20,N/A,"Xichang Satellite Launch Center, People's Republic of China",Launch Failure
1992-12-22T12:00:00Z,Soyuz U,N/A,6.90,N/A,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
1992-12-22T12:36:00Z,Tsiklon-3,"$15,000,000",4.10,N/A,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
1992-12-25T05:56:00Z,Zenit-2,N/A,13.74,N/A,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
1992-12-25T20:07:59Z,Tsiklon-3,"$15,000,000",4.10,N/A,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
1992-12-29T13:30:01Z,Soyuz-U-PVB,N/A,6.90,N/A,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
1993-01-12T11:10:17Z,Kosmos-3M (11K65M),N/A,N/A,N/A,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
1993-01-13T01:49:00Z,Molniya-M 2BL,N/A,N/A,N/A,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
1993-01-13T13:59:30Z,Space Shuttle,"$450,000,000",27.50,N/A,"Kennedy Space Center, FL, USA",Launch Successful
1993-01-19T14:49:01Z,Soyuz U,N/A,6.90,N/A,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
1993-01-24T05:58:05Z,Soyuz-U2,N/A,7.05,N/A,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
1993-01-26T15:55:26Z,Molniya-M 2BL,N/A,N/A,N/A,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
1993-02-03T02:55:00Z,Delta II 7925,"$51,000,000",N/A,1.84,"Cape Canaveral SFS, FL, USA",Launch Successful
1993-02-09T02:56:56Z,Kosmos-3M (11K65M),N/A,N/A,N/A,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
1993-02-09T14:30:00Z,Pegasus,"$40,000,000",0.44,N/A,Air launch to orbit,Launch Successful
1993-02-17T20:09:47Z,Proton K/DM-2,N/A,N/A,N/A,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
1993-02-20T02:20:00Z,Mu-3S-II,N/A,0.80,N/A,"Uchinoura Space Center, Japan",Launch Successful
1993-02-21T18:32:33Z,Soyuz-U2,N/A,7.05,N/A,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
1993-03-25T02:28:00Z,Proton K/DM-2,N/A,N/A,N/A,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
1993-03-25T13:15:27Z,Start-1,"$9,000,000",0.63,N/A,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
1993-03-25T21:38:02Z,Atlas I,N/A,5.90,N/A,"Cape Canaveral SFS, FL, USA",Launch Successful
1993-03-26T02:21:00Z,Zenit-2,N/A,13.74,N/A,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
1993-03-30T03:09:00Z,Delta II 7925,"$51,000,000",N/A,1.84,"Cape Canaveral SFS, FL, USA",Launch Successful
1993-03-30T12:00:00Z,Tsiklon-2,"$12,000,000",2.82,N/A,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
1993-03-31T03:34:13Z,Soyuz-U2,N/A,7.05,N/A,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
1993-04-01T18:57:26Z,Kosmos-3M (11K65M),N/A,N/A,N/A,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
1993-04-02T14:30:01Z,Soyuz U,N/A,6.90,N/A,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
1993-04-06T19:07:27Z,Molniya-M 2BL,N/A,N/A,N/A,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
1993-04-08T05:29:00Z,Space Shuttle,"$450,000,000",27.50,N/A,"Kennedy Space Center, FL, USA",Launch Successful
1993-04-16T07:49:00Z,Tsiklon-3,"$15,000,000",4.10,N/A,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
1993-04-21T00:23:00Z,Molniya-M 2BL,N/A,N/A,N/A,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
1993-04-25T13:56:00Z,Pegasus,"$40,000,000",0.44,N/A,Air launch to orbit,Launch Successful
1993-04-26T14:50:00Z,Space Shuttle,"$450,000,000",27.50,N/A,"Kennedy Space Center, FL, USA",Launch Successful
1993-04-27T10:35:00Z,Soyuz U,N/A,6.90,N/A,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
1993-04-28T03:39:20Z,Tsiklon-2,"$12,000,000",2.82,N/A,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
1993-05-11T14:56:01Z,Tsiklon-3,"$15,000,000",4.10,N/A,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
1993-05-12T00:56:32Z,Ariane 42L,N/A,7.00,3.59,"Guiana Space Centre, French Guiana",Launch Successful
1993-05-13T00:07:00Z,Delta II 7925,"$51,000,000",N/A,1.84,"Cape Canaveral SFS, FL, USA",Launch Successful
1993-05-21T09:15:01Z,Soyuz U,N/A,6.90,N/A,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
1993-05-22T06:41:47Z,Soyuz-U2,N/A,7.05,N/A,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
1993-05-26T03:23:59Z,Molniya-M 2BL,N/A,N/A,N/A,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
1993-05-27T01:22:00Z,Proton K/DM-2,N/A,N/A,N/A,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Failure
1993-06-16T04:17:00Z,Kosmos-3M (11K65M),N/A,N/A,N/A,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
1993-06-21T13:07:22Z,Space Shuttle,"$450,000,000",27.50,N/A,"Kennedy Space Center, FL, USA",Launch Successful
1993-06-24T04:12:41Z,Tsiklon-3,"$15,000,000",4.10,N/A,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
1993-06-25T00:18:00Z,Ariane 42P,N/A,6.00,2.99,"Guiana Space Centre, French Guiana",Launch Successful
1993-06-25T08:20:00Z,Soyuz-U-PVB,N/A,6.90,N/A,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
1993-06-25T23:30:00Z,Scout G-1,"$8,660,000",0.21,N/A,"Vandenberg SFB, CA, USA",Launch Successful
1993-06-26T13:27:00Z,Delta II 7925,"$51,000,000",N/A,1.84,"Cape Canaveral SFS, FL, USA",Launch Successful
1993-07-01T14:32:58Z,Soyuz-U2,N/A,7.05,N/A,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
1993-07-07T07:15:00Z,Tsiklon-2,"$12,000,000",2.82,N/A,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
1993-07-14T16:40:00Z,Soyuz-U-PVB,N/A,6.90,N/A,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
1993-07-19T22:04:02Z,Atlas II,N/A,6.58,2.81,"Cape Canaveral SFS, FL, USA",Launch Successful
1993-07-22T08:45:00Z,Soyuz-U-PVB,N/A,6.90,N/A,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
1993-07-22T22:58:55Z,Ariane 44L,N/A,10.20,4.95,"Guiana Space Centre, French Guiana",Launch Successful
1993-08-02T19:59:00Z,Titan 403A,N/A,17.70,N/A,"Vandenberg SFB, CA, USA",Launch Failure
